TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
31-03-2023,21.5,30.2,24.3,77,2.2,5.7,4,220,1,C 
01-04-2023,21.3,27,23.1,83,0,3.6,3,217,0,C 
02-04-2023,20,31,23.6,78,0.8,3.3,3,245,0,C 
03-04-2023,20.2,30.6,23.8,78,19.7,5.7,3,298,1,NW
04-04-2023,20.2,30.8,24.4,71,8888,6.7,4,290,1,C 
05-04-2023,20.4,31.2,24.8,67,0,8,4,270,1,C 
06-04-2023,21.2,31,25,64,0,7.8,4,230,1,C 
07-04-2023,20.2,30,24.4,67,0,8.6,3,190,1,C 
08-04-2023,20,31.6,24.5,70,-,6,4,240,1,C 
09-04-2023,20,30.2,24.7,74,0,8.9,4,290,1,W 
10-04-2023,21.2,27.6,23.8,81,0,6.4,3,233,1,C 
11-04-2023,20.8,31,24.8,78,10.8,2.5,3,350,1,C 
12-04-2023,20.6,31.6,25,72,-,7.8,4,250,1,C 
13-04-2023,20.8,27.6,23.7,83,11.7,6.3,2,90,0,C 
14-04-2023,19,30.2,23.6,82,0,1.4,5,120,0,C 
15-04-2023,20.4,31,24.5,79,6.8,3.2,3,83,1,C 
16-04-2023,-,30.4,24.5,80,0,6.8,3,240,1,C 
17-04-2023,21.8,32,24.8,84,45.5,5,4,224,0,C 
18-04-2023,22,30.4,24.8,83,9.8,6.6,2,100,0,C 
19-04-2023,21.6,29.8,24.3,81,0.6,4.6,1,50,0,C 
20-04-2023,21.4,28.8,24.1,86,23,3.7,4,50,0,C 
21-04-2023,21.8,29.4,23.9,85,2.7,5,2,250,0,C 
22-04-2023,21.2,29.2,23.2,86,12.2,4.3,2,229,0,C 
23-04-2023,20.4,30,23.5,84,5.2,4.7,3,200,1,C 
24-04-2023,20.2,31.2,23.5,85,0.8,5,2,13,0,C 
25-04-2023,20.4,28.6,22.8,91,27.2,5.3,2,268,0,C 
26-04-2023,20.4,29.4,22.9,86,8,3.4,2,10,0,C 
27-04-2023,19.6,29.6,23.5,86,82.8,4.6,3,60,0,C 
28-04-2023,21,30,24.3,80,4.2,5.2,2,206,0,C 
29-04-2023,21,30.2,24.3,81,3.7,4.2,4,245,1,C 
30-04-2023,20.8,31.6,25.2,77,0,3.2,3,220,1,C 
01-05-2023,21.8,30,25,82,29.8,7.6,4,240,1,C 
02-05-2023,22,30.2,25,82,8888,7.3,4,243,1,C 
03-05-2023,22,29.4,24.6,83,2.4,4,3,70,0,C 
04-05-2023,20.4,28,24.2,86,54.8,5,3,240,1,C 
05-05-2023,21.8,29.8,24.2,87,12.2,3.1,3,130,0,C 
06-05-2023,21,28.8,23.8,88,60.8,5.4,2,248,0,C 
07-05-2023,21,30.4,24.1,84,12.2,1.6,2,208,0,C 
08-05-2023,21.2,29.4,23.8,84,23,4.2,3,56,0,C 
09-05-2023,21.2,29.4,24.6,82,22.9,2.2,2,66,0,C 
10-05-2023,15.5,30.4,24,80,2,4.1,2,200,0,C 
11-05-2023,22,29.4,24.5,84,0,6.8,2,70,0,C 
12-05-2023,22,31.6,25.9,72,0.8,3.2,5,92,1,C 
13-05-2023,20.2,30.6,24.3,83,0,7,2,262,0,C 
14-05-2023,19,31.5,24.6,67,42.4,5.4,5,97,1,C 
15-05-2023,15.4,30.2,23.7,73,0,8.3,3,230,1,C 
16-05-2023,19.8,30.8,24.6,75,0,7.9,3,255,0,C 
17-05-2023,21,31.2,24.8,73,-,8.3,6,233,1,C 
18-05-2023,20.8,29.2,24.6,78,8888,7.8,3,220,1,C 
19-05-2023,21.8,30,24.7,80,0,5.9,4,86,1,C 
20-05-2023,21.5,30.8,25,78,0,6.4,2,200,1,C 
21-05-2023,21.8,29.8,24.4,80,1,5.8,3,218,0,C 
22-05-2023,20,30.8,24,75,4.2,5.1,2,40,1,C 
23-05-2023,20.2,30.6,24.3,76,0,7.1,4,270,1,C 
24-05-2023,20.2,29.6,24.9,76,0,6.3,3,306,1,C 
25-05-2023,21.2,33.4,25.1,71,8888,5.9,2,40,0,C 
26-05-2023,19.2,30.8,25,70,8888,7.2,3,77,1,C 
27-05-2023,19.4,31,24.3,72,8888,6,3,220,0,C 
28-05-2023,19.4,30.2,25,71,8888,7.8,3,220,1,C 
29-05-2023,21.8,30.4,25.5,74,-,6.6,3,250,1,C 
30-05-2023,21.8,31,25.7,69,0,5.9,2,250,1,C 
31-05-2023,20.2,31,25.7,67,-,6.4,3,208,1,C 
01-06-2023,20.4,30.4,24.5,71,0,8.3,4,250,1,NE
02-06-2023,20.2,31.4,25.1,72,0,8,4,102,1,C 
03-06-2023,20.4,30.8,25.7,74,0,7.7,3,118,1,C 
04-06-2023,20.2,30.6,25,78,4.4,7.8,3,210,1,C 
05-06-2023,21.8,30.2,24.9,78,0,7.1,4,236,0,C 
06-06-2023,21.8,27.2,24,84,13.5,4.6,2,220,0,C 
07-06-2023,20.2,29.9,24.5,78,6.6,0.3,4,60,1,C 
08-06-2023,20.4,30,24.5,76,8888,6.2,2,300,0,C 
09-06-2023,19.2,29.8,23.8,74,1,3.3,2,70,0,C 
10-06-2023,19.6,30.2,24,72,0,5.6,3,246,1,C 
11-06-2023,18.4,30.6,23.4,70,0,7.8,2,10,1,C 
12-06-2023,18.5,29.4,24,80,0,7.5,2,90,1,C 
13-06-2023,20,30.8,24.5,78,5.4,6.2,2,92,0,C 
14-06-2023,20.4,29.4,24.5,78,0,6.2,2,140,1,C 
15-06-2023,20.2,29.8,24.4,78,0,4.7,3,110,0,C 
